1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
0,0,0,0,0,0,5,6,0,3,11,26,1,76,174,290,42,58,134,180
0,0,0,0,0,0,6,7,0,1,13,23,1,84,171,296,47,60,128,152
0,0,0,0,0,0,9,6,0,0,9,25,2,75,172,307,45,60,131,168
0,0,0,0,0,1,4,3,0,2,16,18,2,82,155,322,50,60,110,130
0,0,0,0,0,1,3,3,0,0,11,18,4,74,146,262,44,57,119,147
0,0,0,0,1,3,5,2,0,1,15,21,3,80,140,297,40,68,145,158
0,0,0,0,1,0,10,7,0,2,6,15,5,62,183,293,49,61,139,151
0,0,0,0,0,0,3,2,0,2,10,14,6,69,162,307,33,49,129,157
0,0,0,0,0,0,3,12,0,4,12,21,4,71,149,304,36,63,125,158
0,0,0,0,0,0,2,4,0,1,8,18,0,77,154,272,43,61,101,171
0,0,0,0,0,2,8,3,0,1,8,12,4,71,169,279,39,63,134,130
0,0,0,0,0,0,2,7,0,1,12,12,3,63,181,263,39,62,117,160
0,0,0,0,0,0,2,6,0,2,11,19,4,69,129,274,43,66,139,166
0,0,0,0,0,1,1,4,0,1,6,18,0,67,160,260,35,54,129,165
0,0,0,0,0,0,0,7,0,0,13,13,3,52,139,255,34,43,133,136
0,0,0,0,0,0,2,2,1,0,8,14,4,74,164,250,39,53,137,166
0,0,0,0,0,0,1,2,0,0,4,13,1,75,163,258,37,49,99,151
0,0,0,0,0,0,0,7,0,0,6,10,2,69,171,241,39,49,104,144
0,0,0,0,0,1,1,5,0,1,6,13,3,64,145,242,39,39,123,127
0,0,0,0,0,0,2,3,0,1,5,11,2,65,165,233,21,47,85,128
0,0,0,0,0,0,1,5,0,1,9,5,0,61,141,220,39,43,121,143
0,0,0,0,0,0,3,3,0,1,3,6,3,66,141,256,42,49,99,120
0,0,0,0,0,0,1,3,0,0,4,11,1,59,147,236,27,52,115,141
0,0,0,0,0,0,1,1,0,0,7,10,2,60,127,223,44,34,109,129
0,0,0,0,0,2,1,2,1,2,5,7,4,46,133,211,46,49,101,135
0,0,1,0,0,1,2,3,0,0,3,6,0,57,134,235,37,46,95,131
0,0,0,0,0,1,2,3,0,0,4,4,1,57,130,220,24,53,111,104
0,0,0,0,0,0,1,3,0,0,6,7,4,54,112,211,37,38,119,120
0,0,0,0,0,1,1,3,0,1,5,5,4,58,139,201,35,47,97,127
0,0,0,0,0,0,1,1,0,1,4,8,1,60,119,230,28,44,98,122
0,0,0,0,0,1,2,0,0,0,5,5,0,53,118,212,34,46,100,106
0,0,0,0,0,0,1,2,0,0,3,3,1,53,118,196,25,59,97,109
0,0,0,0,0,0,3,3,0,0,0,3,2,58,121,208,31,58,96,111
0,0,0,0,0,0,0,2,0,0,2,5,1,55,105,203,30,47,90,132
0,0,0,0,0,0,2,3,0,0,3,9,2,59,135,208,46,50,111,128
0,0,0,0,0,0,1,1,0,0,3,8,1,55,112,223,35,41,104,110
0,0,0,0,0,0,1,2,0,1,2,2,0,45,132,168,32,42,110,118
0,0,0,0,0,0,0,1,0,0,0,5,2,50,121,193,21,48,122,127
0,0,0,0,0,0,1,0,0,0,4,3,1,40,138,187,24,57,101,109
0,0,0,0,0,1,0,1,0,0,2,5,1,49,117,181,26,51,108,138
0,0,0,0,0,0,0,1,0,0,1,1,1,49,111,189,27,44,92,120
0,0,0,0,0,0,0,1,0,0,2,3,0,45,101,196,31,41,117,126
0,0,0,0,0,0,0,0,0,0,2,2,1,44,130,188,38,48,108,98
0,0,0,0,0,0,0,1,0,0,1,2,0,45,109,191,21,55,107,113
0,0,0,0,0,0,0,0,0,0,2,4,0,50,112,194,29,46,96,117
0,0,0,0,0,0,0,1,0,0,1,3,2,55,108,182,19,46,92,115
0,0,0,0,0,0,0,0,0,0,1,4,1,43,105,156,24,35,84,109
0,0,0,0,0,0,0,2,0,0,1,6,0,47,96,184,29,32,87,112
0,0,0,0,0,0,0,1,0,0,3,3,0,41,128,178,24,35,92,95
0,0,0,0,0,0,1,0,0,0,0,5,1,39,91,198,34,37,88,108
0,0,0,0,0,0,0,1,0,0,1,3,0,43,96,163,35,42,79,98
0,0,0,0,0,0,1,1,0,0,0,2,0,41,96,171,29,43,85,98
0,0,0,0,0,0,2,0,0,0,1,1,1,43,104,152,18,37,105,111
0,0,0,0,0,0,1,1,0,0,2,3,0,51,110,179,22,34,83,112
0,0,0,0,0,0,0,0,0,0,0,4,1,36,90,184,24,44,94,119
0,0,0,0,0,0,1,0,0,0,2,2,0,30,92,156,34,41,91,107
0,0,0,0,0,0,0,1,0,0,1,2,0,43,105,164,28,26,90,104
0,0,0,0,0,0,0,0,0,0,2,2,0,48,94,164,21,45,86,104
0,0,0,0,0,0,0,0,0,0,1,2,0,26,88,187,23,35,87,113
0,0,0,0,0,0,1,1,0,1,0,3,1,43,103,171,24,45,86,93
0,0,0,0,0,0,0,0,0,1,1,3,0,34,87,148,30,59,92,128
0,0,0,0,0,0,0,0,0,0,0,2,0,39,96,156,16,37,91,115
0,0,0,0,0,0,0,0,0,0,1,1,0,47,96,125,29,40,84,103
0,0,0,0,0,0,0,0,0,0,1,0,0,40,100,159,18,32,71,114
0,0,0,0,0,0,0,0,0,0,0,0,2,42,105,139,20,31,69,89
0,0,0,0,0,0,0,0,0,0,1,1,1,40,81,137,19,37,91,94
0,0,0,0,0,0,1,1,0,0,2,0,0,24,92,149,29,36,78,98
0,0,0,0,0,0,0,1,0,0,0,0,0,40,111,159,22,51,94,94
0,0,0,0,0,0,0,0,0,0,1,2,2,34,75,132,26,35,95,91
0,0,0,0,0,0,0,0,0,0,0,1,1,39,85,152,21,42,75,80
0,0,0,0,0,0,0,0,0,0,1,1,1,44,93,155,22,55,69,98
0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,142,23,35,73,98
0,0,0,0,0,0,1,0,0,0,0,1,0,26,91,146,22,33,74,89
0,0,0,0,0,0,0,0,0,0,2,2,0,47,60,153,25,41,92,92
0,0,0,0,0,0,0,0,0,0,0,1,0,33,71,131,14,30,84,89
0,0,0,0,0,0,0,0,0,0,0,1,0,26,94,142,21,25,90,85
0,0,0,0,0,0,1,0,0,0,2,1,0,44,98,134,33,36,76,87
0,0,0,0,0,0,0,0,0,0,0,0,1,43,79,139,22,33,76,86
0,0,0,0,0,0,0,0,0,0,0,1,0,41,96,150,25,26,76,95
0,0,0,0,0,0,0,0,0,0,0,0,0,33,81,120,25,17,70,94
0,0,0,0,0,0,0,0,0,0,0,3,1,31,91,148,14,26,77,83
0,0,0,0,0,0,0,0,0,1,0,0,0,26,92,142,16,35,46,90
0,0,0,0,0,0,0,0,0,0,1,0,0,29,101,153,24,30,68,84
0,0,0,0,0,0,0,0,0,0,0,1,0,33,82,147,30,35,57,80
0,0,0,0,0,0,0,0,0,0,2,0,0,43,74,117,10,32,63,80
0,0,0,0,0,0,0,0,0,0,0,0,0,30,86,119,17,30,61,77
0,0,0,0,0,0,0,0,0,0,0,0,0,33,74,136,20,42,78,88
0,0,0,0,0,0,0,1,0,0,0,3,0,39,92,147,17,42,71,91
0,0,0,0,0,0,0,0,0,0,0,0,1,33,86,123,25,31,68,85
0,0,0,0,0,0,0,0,0,0,0,1,0,32,69,131,23,22,67,91
0,0,0,0,0,0,0,0,0,0,0,1,0,28,76,136,21,38,67,73
0,0,0,0,0,0,0,0,0,0,0,0,0,23,69,117,22,33,60,83
0,0,0,0,0,0,0,0,0,0,0,0,0,27,92,108,22,24,64,66
0,0,0,0,0,0,0,0,0,0,0,0,1,21,57,117,14,20,69,77
0,0,0,0,0,0,0,0,0,0,0,1,0,33,65,132,22,31,74,75
0,0,0,0,0,0,0,0,0,0,0,0,0,23,55,125,17,29,57,84
0,0,0,0,0,0,0,0,0,0,1,0,0,38,70,117,12,28,65,88
0,0,0,0,0,0,0,0,0,0,0,0,0,28,81,110,9,36,80,74
0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,139,14,19,70,80
0,0,0,0,0,0,0,0,0,0,0,1,0,26,86,108,22,23,64,86
0,0,0,0,0,0,0,1,0,0,0,0,0,32,67,128,14,21,52,86
0,0,0,0,0,0,0,0,0,1,0,0,0,27,72,113,25,23,57,76
0,0,0,0,0,0,0,0,0,0,1,0,0,33,68,105,20,31,59,71
0,0,0,0,0,0,0,0,0,0,1,0,0,36,58,106,20,25,67,76
0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,119,29,27,55,83
0,0,0,0,0,0,0,0,0,0,0,0,0,21,60,108,15,21,78,78
0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,111,14,23,67,64
0,0,0,0,0,0,0,0,0,0,0,0,0,22,57,119,25,29,52,86
0,0,0,0,0,0,0,0,0,0,0,0,0,28,60,111,18,29,55,73
